Toothbrush ID,Village ID,Date,Number of Times Brushed,Total Time Brushed (s)
toothbrush1,village3,2023-01-01,2,228
toothbrush1,village3,2023-01-02,0,0
toothbrush1,village3,2023-01-03,1,72
toothbrush1,village3,2023-01-04,1,85
toothbrush1,village3,2023-01-05,0,0
toothbrush1,village3,2023-01-06,0,0
toothbrush1,village3,2023-01-07,2,110
toothbrush1,village3,2023-01-08,2,145
toothbrush1,village3,2023-01-09,1,58
toothbrush1,village3,2023-01-10,1,32
toothbrush1,village3,2023-01-11,1,105
toothbrush1,village3,2023-01-12,0,0
toothbrush1,village3,2023-01-13,2,220
toothbrush1,village3,2023-01-14,0,0
toothbrush1,village3,2023-01-15,2,184
toothbrush1,village3,2023-01-16,2,162
toothbrush1,village3,2023-01-17,2,117
toothbrush1,village3,2023-01-18,0,0
toothbrush1,village3,2023-01-19,1,33
toothbrush1,village3,2023-01-20,2,152
toothbrush1,village3,2023-01-21,1,87
toothbrush1,village3,2023-01-22,1,113
toothbrush1,village3,2023-01-23,1,110
toothbrush1,village3,2023-01-24,1,77
toothbrush1,village3,2023-01-25,1,86
toothbrush1,village3,2023-01-26,2,130
toothbrush1,village3,2023-01-27,1,118
toothbrush1,village3,2023-01-28,0,0
toothbrush1,village3,2023-01-29,1,48
toothbrush1,village3,2023-01-30,2,126
toothbrush1,village3,2023-01-31,2,120
toothbrush1,village3,2023-02-01,2,122
toothbrush1,village3,2023-02-02,1,34
toothbrush1,village3,2023-02-03,1,51
toothbrush1,village3,2023-02-04,2,138
toothbrush1,village3,2023-02-05,0,0
toothbrush1,village3,2023-02-06,0,0
toothbrush1,village3,2023-02-07,0,0
toothbrush1,village3,2023-02-08,1,63
toothbrush1,village3,2023-02-09,1,117
toothbrush1,village3,2023-02-10,0,0
toothbrush1,village3,2023-02-11,1,78
toothbrush1,village3,2023-02-12,0,0
toothbrush1,village3,2023-02-13,1,34
toothbrush1,village3,2023-02-14,1,51
toothbrush1,village3,2023-02-15,2,181
toothbrush1,village3,2023-02-16,2,210
toothbrush1,village3,2023-02-17,0,0
toothbrush1,village3,2023-02-18,1,107
toothbrush1,village3,2023-02-19,1,71
toothbrush1,village3,2023-02-20,1,60
toothbrush1,village3,2023-02-21,2,101
toothbrush1,village3,2023-02-22,2,126
toothbrush1,village3,2023-02-23,1,68
toothbrush1,village3,2023-02-24,2,121
toothbrush1,village3,2023-02-25,2,128
toothbrush1,village3,2023-02-26,1,73
toothbrush1,village3,2023-02-27,1,74
toothbrush1,village3,2023-02-28,2,153
toothbrush1,village3,2023-03-01,2,199
toothbrush1,village3,2023-03-02,2,186
toothbrush1,village3,2023-03-03,2,100
toothbrush1,village3,2023-03-04,2,174
toothbrush1,village3,2023-03-05,0,0
toothbrush1,village3,2023-03-06,2,202
toothbrush1,village3,2023-03-07,0,0
toothbrush1,village3,2023-03-08,0,0
toothbrush1,village3,2023-03-09,0,0
toothbrush1,village3,2023-03-10,2,138
toothbrush1,village3,2023-03-11,1,76
toothbrush1,village3,2023-03-12,0,0
toothbrush1,village3,2023-03-13,1,112
toothbrush1,village3,2023-03-14,1,114
toothbrush1,village3,2023-03-15,1,109
toothbrush1,village3,2023-03-16,2,89
toothbrush1,village3,2023-03-17,0,0
toothbrush1,village3,2023-03-18,1,98
toothbrush1,village3,2023-03-19,1,53
toothbrush1,village3,2023-03-20,0,0
toothbrush1,village3,2023-03-21,2,145
toothbrush1,village3,2023-03-22,2,189
toothbrush1,village3,2023-03-23,2,70
toothbrush1,village3,2023-03-24,2,232
toothbrush1,village3,2023-03-25,2,152
toothbrush1,village3,2023-03-26,1,92
toothbrush1,village3,2023-03-27,2,140
toothbrush1,village3,2023-03-28,2,148
toothbrush1,village3,2023-03-29,1,71
toothbrush1,village3,2023-03-30,2,143
toothbrush1,village3,2023-03-31,2,152
toothbrush1,village3,2023-04-01,1,75
toothbrush1,village3,2023-04-02,2,226
toothbrush1,village3,2023-04-03,1,54
toothbrush1,village3,2023-04-04,2,149
toothbrush1,village3,2023-04-05,1,38
toothbrush1,village3,2023-04-06,1,61
toothbrush1,village3,2023-04-07,0,0
toothbrush1,village3,2023-04-08,0,0
toothbrush1,village3,2023-04-09,2,183
toothbrush1,village3,2023-04-10,2,149
toothbrush1,village3,2023-04-11,0,0
toothbrush1,village3,2023-04-12,1,114
toothbrush1,village3,2023-04-13,1,59
toothbrush1,village3,2023-04-14,1,99
toothbrush1,village3,2023-04-15,0,0
toothbrush1,village3,2023-04-16,2,204
toothbrush1,village3,2023-04-17,0,0
toothbrush1,village3,2023-04-18,1,62
toothbrush1,village3,2023-04-19,1,56
toothbrush1,village3,2023-04-20,1,97
toothbrush1,village3,2023-04-21,1,73
toothbrush1,village3,2023-04-22,2,204
toothbrush1,village3,2023-04-23,2,134
toothbrush1,village3,2023-04-24,2,137
toothbrush1,village3,2023-04-25,0,0
toothbrush1,village3,2023-04-26,2,138
toothbrush1,village3,2023-04-27,1,93
toothbrush1,village3,2023-04-28,1,109
toothbrush1,village3,2023-04-29,1,54
toothbrush1,village3,2023-04-30,2,211
toothbrush1,village3,2023-05-01,1,113
toothbrush1,village3,2023-05-02,0,0
toothbrush1,village3,2023-05-03,1,95
toothbrush1,village3,2023-05-04,0,0
toothbrush1,village3,2023-05-05,0,0
toothbrush1,village3,2023-05-06,0,0
toothbrush1,village3,2023-05-07,2,122
toothbrush1,village3,2023-05-08,1,112
toothbrush1,village3,2023-05-09,1,36
toothbrush1,village3,2023-05-10,0,0
toothbrush1,village3,2023-05-11,1,58
toothbrush1,village3,2023-05-12,2,109
toothbrush1,village3,2023-05-13,2,111
toothbrush1,village3,2023-05-14,0,0
toothbrush1,village3,2023-05-15,0,0
toothbrush1,village3,2023-05-16,2,158
toothbrush1,village3,2023-05-17,2,133
toothbrush1,village3,2023-05-18,0,0
toothbrush1,village3,2023-05-19,1,120
toothbrush1,village3,2023-05-20,2,210
toothbrush1,village3,2023-05-21,1,67
toothbrush1,village3,2023-05-22,0,0
toothbrush1,village3,2023-05-23,0,0
toothbrush1,village3,2023-05-24,1,36
toothbrush1,village3,2023-05-25,0,0
toothbrush1,village3,2023-05-26,0,0
toothbrush1,village3,2023-05-27,0,0
toothbrush1,village3,2023-05-28,0,0
toothbrush1,village3,2023-05-29,2,173
toothbrush1,village3,2023-05-30,2,193
toothbrush1,village3,2023-05-31,2,132
toothbrush1,village3,2023-06-01,2,147
toothbrush1,village3,2023-06-02,0,0
toothbrush1,village3,2023-06-03,1,93
toothbrush1,village3,2023-06-04,2,117
toothbrush1,village3,2023-06-05,1,83
toothbrush1,village3,2023-06-06,2,68
toothbrush1,village3,2023-06-07,0,0
toothbrush1,village3,2023-06-08,2,130
toothbrush1,village3,2023-06-09,2,166
toothbrush1,village3,2023-06-10,1,119
toothbrush1,village3,2023-06-11,1,76
toothbrush1,village3,2023-06-12,1,93
toothbrush1,village3,2023-06-13,2,87
toothbrush1,village3,2023-06-14,0,0
toothbrush1,village3,2023-06-15,2,204
toothbrush1,village3,2023-06-16,2,133
toothbrush1,village3,2023-06-17,1,84
toothbrush1,village3,2023-06-18,1,101
toothbrush1,village3,2023-06-19,1,78
toothbrush1,village3,2023-06-20,2,202
toothbrush1,village3,2023-06-21,2,178
toothbrush1,village3,2023-06-22,0,0
toothbrush1,village3,2023-06-23,2,123
toothbrush1,village3,2023-06-24,1,88
toothbrush1,village3,2023-06-25,2,160
toothbrush1,village3,2023-06-26,0,0
toothbrush1,village3,2023-06-27,0,0
toothbrush1,village3,2023-06-28,2,137
toothbrush1,village3,2023-06-29,1,58
toothbrush2,village2,2023-01-01,0,0
toothbrush2,village2,2023-01-02,1,119
toothbrush2,village2,2023-01-03,2,142
toothbrush2,village2,2023-01-04,2,105
toothbrush2,village2,2023-01-05,0,0
toothbrush2,village2,2023-01-06,2,209
toothbrush2,village2,2023-01-07,0,0
toothbrush2,village2,2023-01-08,2,136
toothbrush2,village2,2023-01-09,1,50
toothbrush2,village2,2023-01-10,1,83
toothbrush2,village2,2023-01-11,1,105
toothbrush2,village2,2023-01-12,1,80
toothbrush2,village2,2023-01-13,1,120
toothbrush2,village2,2023-01-14,2,184
toothbrush2,village2,2023-01-15,1,105
toothbrush2,village2,2023-01-16,0,0
toothbrush2,village2,2023-01-17,2,134
toothbrush2,village2,2023-01-18,2,187
toothbrush2,village2,2023-01-19,0,0
toothbrush2,village2,2023-01-20,2,125
toothbrush2,village2,2023-01-21,1,120
toothbrush2,village2,2023-01-22,2,136
toothbrush2,village2,2023-01-23,1,99
toothbrush2,village2,2023-01-24,1,65
toothbrush2,village2,2023-01-25,2,96
toothbrush2,village2,2023-01-26,2,210
toothbrush2,village2,2023-01-27,0,0
toothbrush2,village2,2023-01-28,0,0
toothbrush2,village2,2023-01-29,2,143
toothbrush2,village2,2023-01-30,2,139
toothbrush2,village2,2023-01-31,2,142
toothbrush2,village2,2023-02-01,2,182
toothbrush2,village2,2023-02-02,1,31
toothbrush2,village2,2023-02-03,0,0
toothbrush2,village2,2023-02-04,2,159
toothbrush2,village2,2023-02-05,2,153
toothbrush2,village2,2023-02-06,2,132
toothbrush2,village2,2023-02-07,1,56
toothbrush2,village2,2023-02-08,2,184
toothbrush2,village2,2023-02-09,0,0
toothbrush2,village2,2023-02-10,1,60
toothbrush2,village2,2023-02-11,2,179
